study_hours,attendance,previous_marks,assignment_score,sleep_hours,pass
4.37,84.91,50.18,68.55,6.05,0
9.56,76.8,69.8,66.36,5.99,1
7.59,65.48,88.01,41.41,8.63,0
6.39,90.69,80.27,58.77,6.0,1
2.4,84.24,84.36,60.91,6.09,1
2.4,58.13,76.23,61.94,8.04,0
1.52,95.55,78.08,71.91,6.8,1
8.8,91.13,86.71,69.35,8.11,1
6.41,97.49,53.73,73.43,5.26,1
7.37,86.29,66.92,82.07,6.95,1
1.19,80.67,52.17,84.71,5.13,1
9.73,70.91,94.32,79.5,5.25,1
8.49,96.64,91.92,92.55,8.63,1
2.91,93.3,42.17,41.0,5.56,0
2.64,52.26,78.81,50.77,7.13,0
2.65,51.32,90.89,40.42,6.64,0
3.74,68.82,49.93,75.61,6.39,0
5.72,90.53,71.24,89.39,8.6,1
4.89,99.36,90.35,53.39,5.09,1
3.62,57.52,41.87,90.99,7.66,0
6.51,79.71,78.36,43.31,8.85,0
2.26,69.04,56.35,91.39,7.24,1
3.63,98.5,90.84,59.34,8.75,1
4.3,92.11,93.41,45.58,5.21,1
5.1,91.92,91.93,66.72,6.68,1
8.07,73.43,66.08,54.12,6.04,0
2.8,70.74,87.41,55.67,7.92,1
5.63,63.67,86.45,56.9,8.93,0
6.33,52.82,57.55,84.17,6.03,0
1.42,93.24,85.59,69.65,7.62,1
6.47,90.65,42.04,57.12,5.79,0
2.53,99.99,72.79,73.57,7.26,1
1.59,99.83,52.65,79.39,6.86,1
9.54,77.77,46.63,54.99,8.89,0
9.69,88.45,44.23,62.75,7.43,0
8.28,97.24,78.3,46.7,6.4,1
3.74,92.48,58.69,49.96,5.46,0
1.88,62.37,79.86,77.46,5.6,1
7.16,72.53,43.59,49.98,5.9,0
4.96,56.46,57.34,68.88,6.0,0
2.1,97.7,69.67,79.0,8.4,1
5.46,80.31,83.49,45.88,7.24,1
1.31,61.43,57.53,71.2,7.09,0
9.18,83.59,74.42,54.11,5.46,1
3.33,80.91,88.73,92.96,8.44,1
6.96,67.91,73.87,66.6,7.89,0
3.81,55.68,52.81,84.33,5.27,0
5.68,83.58,41.34,70.26,7.83,0
5.92,76.02,87.86,42.39,7.17,0
2.66,88.62,41.17,74.82,5.33,0
9.73,76.01,88.11,92.33,6.83,1
7.98,92.61,69.09,73.09,6.94,1
9.46,77.6,91.65,85.06,5.66,1
9.05,78.05,83.93,88.63,8.78,1
6.38,93.83,94.89,52.54,8.4,1
9.3,70.17,59.29,51.66,7.68,0
1.8,56.7,82.2,73.6,6.85,0
2.76,51.44,62.11,62.61,6.65,0
1.41,87.76,66.39,86.19,7.6,1
3.93,81.02,74.51,89.5,7.18,1
4.5,85.2,88.05,59.44,5.25,1
3.44,60.65,94.12,53.03,7.05,0
8.46,56.82,82.26,82.93,8.23,1
4.21,50.73,62.98,55.11,6.84,0
3.53,67.53,63.17,85.24,5.21,1
5.88,79.5,80.57,63.31,8.15,1
2.27,69.61,53.13,76.72,5.81,0
8.22,71.87,46.08,45.25,6.03,0
1.67,95.21,59.5,74.31,5.66,1
9.88,67.41,55.8,64.85,6.32,0
7.95,75.7,56.3,72.26,8.03,0
2.79,89.18,52.85,49.24,7.08,0
1.05,69.83,42.32,80.53,5.82,0
8.34,81.1,40.98,87.45,8.51,1
7.36,93.12,94.32,51.92,8.52,1
7.56,97.48,63.53,45.26,8.48,1
7.94,57.35,61.14,41.3,5.96,0
1.67,96.33,77.38,75.31,6.8,1
4.23,74.61,52.0,73.39,8.94,0
2.04,62.91,92.25,70.07,8.09,1
8.77,72.96,83.25,52.76,5.11,1
6.61,99.0,44.92,61.5,5.26,1
3.98,74.63,62.97,72.7,6.86,0
1.57,66.44,88.35,67.32,8.64,1
3.8,81.67,91.96,94.33,7.15,1
3.93,62.01,65.71,47.5,6.99,0
7.57,53.79,73.74,78.23,5.42,0
6.74,56.44,49.19,62.24,7.63,0
8.98,56.4,94.51,63.55,8.29,1
5.25,57.6,52.74,79.47,6.52,0
2.08,56.94,91.85,78.08,8.1,1
7.42,82.04,75.73,94.52,8.86,1
7.85,59.09,73.43,47.06,5.82,0
6.05,67.28,68.2,45.73,7.09,0
7.94,94.84,52.69,79.84,6.15,1
5.44,73.7,49.71,71.81,8.17,0
5.7,83.38,52.13,55.08,7.31,0
4.85,58.62,50.25,44.37,7.54,0
1.23,59.61,82.88,44.71,8.19,0
1.97,52.04,59.26,89.18,6.58,0
1.28,58.45,43.18,50.55,8.66,0
6.73,63.93,93.3,57.79,7.13,1
3.83,58.85,88.61,52.47,5.63,0
5.58,54.44,91.03,59.52,7.78,0
9.17,56.03,94.72,43.82,8.17,0
3.24,73.04,49.56,68.55,6.27,0
4.69,60.32,61.79,43.72,8.43,0
7.8,68.21,81.7,84.02,8.62,1
3.06,75.17,78.28,52.85,6.11,0
1.69,84.52,48.46,69.7,8.93,0
3.61,51.97,84.87,88.4,5.56,1
2.45,89.97,52.34,75.8,5.81,1
9.37,81.4,52.31,69.31,5.74,0
8.27,54.09,69.53,57.84,8.58,0
6.7,93.68,72.61,58.32,7.62,1
8.84,96.04,71.9,76.82,5.61,1
8.23,53.05,45.03,94.68,6.76,0
2.68,63.84,88.26,76.4,7.46,1
9.03,90.31,54.61,70.68,5.33,1
5.85,87.41,47.12,80.19,8.53,1
8.27,59.23,88.88,65.59,8.21,1
9.06,60.47,92.56,43.31,7.02,0
3.86,68.52,87.42,70.93,8.87,1
1.99,74.23,84.52,92.67,6.67,1
3.05,80.91,76.04,49.64,8.94,0
4.84,68.45,70.3,77.95,7.67,1
8.36,73.13,44.78,51.05,7.54,0
8.75,87.37,62.46,69.47,5.66,1
1.06,51.83,60.5,45.32,8.53,0
5.6,62.62,54.29,64.77,6.71,0
4.76,85.67,79.79,81.59,5.65,1
3.0,94.76,67.27,59.12,5.05,1
2.08,75.58,44.46,76.57,7.24,0
4.04,76.61,52.11,83.75,7.11,1
9.49,55.36,77.58,90.99,7.88,1
3.91,72.37,44.19,52.91,8.56,0
5.67,76.63,86.82,61.96,5.32,1
7.33,62.12,67.23,48.38,7.93,0
4.27,63.46,66.43,94.59,5.75,1
9.75,68.86,72.58,90.99,8.43,1
9.66,51.0,85.36,69.7,8.28,0
3.27,66.1,59.13,86.31,7.16,0
5.48,60.57,77.29,68.65,7.84,0
3.71,66.37,71.12,74.3,6.26,0
3.56,55.99,54.69,44.9,6.88,0
1.33,94.53,88.32,81.54,8.29,1
6.49,79.68,83.86,47.02,6.84,1
5.52,83.96,76.21,85.43,6.43,1
1.46,89.46,86.78,83.01,6.98,1
3.51,74.92,87.7,78.98,8.31,1
9.17,54.35,78.96,41.99,6.34,0
3.16,76.86,86.04,56.67,5.7,1
2.3,79.34,78.36,54.47,7.85,0
5.41,87.27,77.41,59.81,8.3,1
9.87,71.58,74.02,44.82,5.4,0
3.18,56.38,81.4,91.53,5.96,1
7.05,64.19,48.72,70.46,5.57,0
7.85,68.15,88.45,56.8,6.39,1
3.14,82.3,87.95,61.83,6.8,1
7.55,78.54,41.61,64.6,8.0,0
4.31,67.8,85.42,73.03,7.6,1
6.69,99.33,47.09,68.36,7.48,1
6.7,80.29,58.43,90.57,6.41,1
5.82,61.86,80.89,67.33,8.37,0
1.81,55.09,48.84,94.57,6.89,0
8.52,57.64,84.99,86.83,8.92,1
3.89,62.3,85.77,51.47,7.54,0
2.68,58.03,67.91,91.18,5.51,0
1.37,59.33,40.35,46.4,7.7,0
6.32,64.25,55.79,84.96,6.3,0
7.1,58.67,73.93,60.93,7.75,0
1.15,94.84,93.97,88.29,5.28,1
5.61,54.01,74.75,87.74,5.7,1
3.04,76.23,54.29,84.33,8.42,1
6.81,70.52,74.87,83.45,5.91,1
2.57,99.12,69.7,56.76,8.35,1
7.22,55.6,82.89,44.45,6.12,0
4.48,69.89,45.88,62.16,7.57,0
9.43,98.47,81.86,49.54,7.78,1
2.24,93.28,69.77,78.22,7.05,1
4.07,90.85,92.96,59.04,6.22,1
2.02,62.9,58.8,93.66,5.85,0
9.32,58.54,74.79,75.25,5.13,0
8.9,83.43,91.26,85.24,6.22,1
3.32,96.47,45.64,47.29,7.61,0
6.94,77.84,91.55,87.41,8.75,1
8.35,78.58,77.83,90.75,8.48,1
6.0,64.0,43.73,66.79,8.06,0
5.77,88.47,56.55,73.34,8.15,1
3.18,59.35,78.95,82.06,7.66,1
1.84,66.18,43.7,49.62,6.04,0
9.07,71.27,72.02,67.64,8.63,1
9.1,75.38,59.02,61.93,7.68,0
6.7,62.12,74.15,48.05,7.24,0
4.05,55.74,42.52,60.21,5.44,0
4.14,80.53,87.93,43.75,6.79,1
7.53,64.43,93.54,41.42,6.84,0
9.07,79.06,93.29,47.43,8.46,1
8.98,57.72,81.23,92.97,7.19,1
8.02,74.06,47.15,70.22,6.52,0
6.78,76.63,81.7,93.12,8.91,1
1.76,52.59,41.35,63.79,5.44,0
2.45,66.83,41.22,57.15,6.69,0
9.09,56.72,57.8,67.84,5.17,0
6.46,53.17,66.88,64.17,7.96,0
1.08,99.5,82.37,45.81,8.67,1
1.91,66.12,77.58,75.25,6.12,1
6.97,90.49,64.52,51.88,8.43,1
1.05,62.73,55.05,74.08,6.17,0
2.45,84.08,94.84,75.76,8.64,1
5.94,88.01,63.44,48.36,8.02,0
7.23,79.78,64.83,43.37,8.22,0
6.87,73.58,49.0,82.94,5.07,0
3.02,70.59,83.71,65.29,8.85,1
7.41,67.44,78.15,43.2,7.91,0
3.14,96.48,52.14,94.72,6.22,1
3.93,91.53,44.53,43.18,8.32,0
7.72,98.25,77.43,78.23,6.13,1
6.85,56.21,76.0,94.1,8.49,1
8.64,86.54,55.03,53.15,5.45,0
6.92,96.92,92.3,47.82,7.81,1
6.11,59.06,48.31,46.68,7.16,0
1.84,53.32,63.78,56.68,5.39,0
4.31,87.06,91.9,45.56,5.97,1
3.39,78.72,63.09,78.07,5.05,1
3.2,92.09,75.12,43.43,6.88,1
9.76,56.99,61.87,68.02,6.21,0
4.54,89.76,55.08,94.82,7.39,1
9.03,60.08,94.12,84.77,6.19,1
6.68,58.18,62.51,73.84,6.2,0
8.15,58.21,89.18,56.84,7.97,0
5.52,90.73,52.65,74.31,5.19,1
6.19,83.26,51.72,68.99,8.61,0
5.43,76.15,41.71,63.43,8.41,0
2.76,67.94,75.84,47.19,7.67,0
7.5,93.86,60.27,88.76,7.37,1
3.53,69.62,87.54,64.74,8.57,1
1.22,90.83,66.03,50.7,5.74,0
6.81,71.96,93.25,60.23,5.32,1
2.59,68.85,50.2,62.78,5.96,0
9.46,73.13,87.77,85.51,8.18,1
9.59,65.07,82.71,80.35,5.14,1
9.23,87.38,82.4,82.31,7.33,1
